Date,GHI,DNI,DHI,Temperature,WindSpeed
2025-04-20,6.86,3.01,2.61,21.7,4.39
2025-04-21,5.22,5.32,2.95,29.3,3.71
2025-04-22,6.7,4.19,2.05,28.7,4.9
2025-04-23,4.99,4.92,1.85,32.1,2.31
2025-04-24,4.25,4.58,2.91,28.7,4.59
2025-04-25,5.58,5.34,2.24,32.4,3.19
2025-04-26,5.98,4.98,1.83,28.3,1.48
2025-04-27,6.68,4.2,1.87,32.6,2.42
2025-04-28,6.9,3.37,1.96,27.7,4.74
2025-04-29,6.31,4.27,1.12,27.9,2.79
2025-04-30,6.28,3.02,1.31,27.8,4.62
2025-05-01,6.13,3.23,2.27,31.9,3.8
2025-05-02,6.1,5.49,2.38,27.0,5.94
2025-05-03,6.3,4.55,2.77,22.9,3.0
2025-05-04,6.92,5.37,2.15,30.1,4.43
2025-05-05,5.12,5.22,1.29,33.5,2.99
2025-05-06,4.25,4.58,2.38,22.1,1.44
2025-05-07,4.72,5.18,1.32,23.7,5.24
2025-05-08,4.66,5.83,2.06,26.0,1.05
2025-05-09,5.09,5.85,1.4,22.2,4.77
2025-05-10,6.43,3.76,1.55,31.5,4.84
2025-05-11,4.18,5.73,2.74,31.3,2.66
2025-05-12,5.35,4.41,2.11,27.0,2.15
2025-05-13,6.44,3.63,2.5,33.9,4.17
2025-05-14,4.79,4.23,1.3,33.5,3.06
2025-05-15,4.19,4.75,1.89,32.3,5.19
2025-05-16,4.73,5.67,1.78,29.9,4.68
2025-05-17,4.26,5.71,2.95,34.4,3.62
2025-05-18,6.42,4.68,2.48,31.5,2.66
2025-05-19,4.51,5.42,2.65,32.9,5.38
2025-05-20,4.59,4.59,2.36,27.3,3.21
2025-05-21,6.44,3.29,1.13,34.1,4.06
2025-05-22,6.43,4.31,2.57,31.9,2.93
2025-05-23,5.77,5.1,2.45,27.6,4.79
2025-05-24,6.74,5.26,2.4,33.1,4.88
2025-05-25,4.18,5.03,1.86,22.1,4.06
2025-05-26,6.89,3.01,1.54,26.1,3.21
2025-05-27,5.71,5.05,1.99,28.5,5.21
2025-05-28,4.91,5.94,1.81,32.3,4.99
2025-05-29,6.48,3.64,1.21,32.4,2.16
2025-05-30,5.98,5.14,2.55,25.6,5.57
2025-05-31,6.96,3.59,2.32,28.3,5.19
2025-06-01,4.32,5.3,1.3,26.6,5.16
2025-06-02,5.74,5.81,2.23,23.9,4.23
2025-06-03,5.42,3.62,2.9,22.1,4.79
2025-06-04,5.96,5.49,2.06,28.0,4.75
2025-06-05,4.73,3.9,1.09,30.4,1.64
2025-06-06,4.09,5.64,2.93,30.7,2.85
2025-06-07,5.63,3.1,2.3,32.1,5.09
2025-06-08,5.09,5.27,1.96,31.0,5.14
2025-06-09,6.68,3.65,2.91,26.7,3.61
2025-06-10,5.38,4.1,1.89,22.2,2.44
2025-06-11,5.26,3.47,1.43,28.1,5.45
2025-06-12,5.9,5.42,1.01,26.1,1.59
2025-06-13,5.58,3.6,2.59,20.2,1.3
2025-06-14,6.88,4.06,1.3,33.7,4.8
2025-06-15,6.37,4.1,2.59,29.2,4.38
2025-06-16,5.49,3.8,1.16,32.6,4.26
2025-06-17,4.63,3.67,2.27,27.6,5.36
2025-06-18,5.81,5.24,1.05,21.7,3.19
2025-06-19,6.25,4.73,2.44,24.2,4.03
2025-06-20,6.27,5.32,1.03,30.0,5.2
2025-06-21,6.98,3.47,2.79,33.8,4.56
2025-06-22,4.66,4.64,2.18,29.3,5.93
2025-06-23,5.28,3.24,2.59,33.7,4.98
2025-06-24,5.27,3.3,2.85,33.3,2.24
2025-06-25,4.96,4.3,2.16,24.0,1.96
2025-06-26,5.1,4.78,2.1,22.7,5.79
2025-06-27,5.43,5.15,2.86,30.0,5.24
2025-06-28,5.63,4.7,2.38,31.5,5.7
2025-06-29,4.8,3.23,2.58,28.3,2.19
2025-06-30,4.4,4.13,2.01,32.0,4.52
2025-07-01,4.91,5.21,2.99,34.5,1.47
2025-07-02,4.41,5.85,2.13,22.6,5.74
2025-07-03,4.95,5.72,1.28,27.2,3.62
2025-07-04,6.04,4.47,1.08,21.6,3.01
2025-07-05,5.8,5.81,2.68,25.0,4.9
2025-07-06,6.99,3.75,1.18,21.3,5.62
2025-07-07,5.68,4.85,2.17,31.4,4.4
2025-07-08,5.65,5.29,2.0,28.7,1.67
2025-07-09,5.93,3.01,2.63,30.6,1.16
2025-07-10,6.18,3.25,1.74,27.8,5.82
2025-07-11,5.85,3.96,1.33,20.3,4.48
2025-07-12,5.77,3.65,1.36,23.1,3.43
2025-07-13,5.82,3.52,1.23,26.9,2.46
2025-07-14,5.06,4.66,2.04,22.6,3.03
2025-07-15,6.33,4.92,1.14,32.4,2.47
2025-07-16,5.81,4.46,1.84,20.2,4.66
2025-07-17,4.93,5.1,1.46,24.9,2.56
2025-07-18,4.74,3.95,1.28,27.6,1.97
2025-07-19,4.21,4.1,2.46,26.8,2.09
2025-07-20,5.04,3.4,2.6,23.6,3.12
2025-07-21,4.04,3.65,2.48,34.3,5.63
2025-07-22,4.5,4.46,1.79,29.6,4.23
2025-07-23,4.18,5.48,1.95,21.9,2.59
2025-07-24,4.83,4.42,2.44,34.4,2.89
2025-07-25,5.04,5.65,2.29,20.7,5.32
2025-07-26,5.77,5.81,2.07,30.3,3.06
2025-07-27,6.33,5.31,1.48,34.8,2.47
2025-07-28,5.87,5.34,1.5,30.3,4.43
2025-07-29,4.48,3.04,2.1,27.8,2.94
2025-07-30,6.68,5.08,2.58,22.6,4.85
2025-07-31,6.19,3.1,1.75,28.5,2.16
2025-08-01,5.49,5.26,2.13,31.1,3.88
2025-08-02,5.93,4.27,2.98,21.5,5.15
2025-08-03,5.53,3.25,1.71,32.0,5.16
2025-08-04,4.5,5.79,2.59,29.2,1.36
2025-08-05,5.92,3.56,2.17,21.0,1.01
2025-08-06,6.96,5.88,1.78,32.0,1.19
2025-08-07,6.31,5.35,2.02,29.1,5.1
2025-08-08,4.54,5.77,1.14,32.3,3.89
2025-08-09,4.36,4.88,2.17,23.0,2.44
2025-08-10,6.79,4.06,2.67,24.8,4.03
2025-08-11,6.73,5.1,1.14,33.7,2.76
2025-08-12,6.25,4.38,2.29,34.1,5.93
2025-08-13,6.28,5.2,1.1,34.6,2.99
2025-08-14,4.43,5.86,1.23,20.3,3.73
2025-08-15,6.44,3.17,2.25,26.4,4.9
2025-08-16,4.58,3.5,2.07,34.4,2.21
2025-08-17,4.46,4.29,1.38,29.9,3.88
2025-08-18,5.22,3.08,1.69,27.0,2.79
2025-08-19,4.0,4.08,1.23,22.2,3.41
2025-08-20,6.54,4.27,2.38,27.6,4.28
2025-08-21,4.48,3.52,2.36,31.6,3.86
2025-08-22,6.22,3.13,2.92,28.7,3.07
2025-08-23,5.75,4.91,2.38,26.0,2.51
2025-08-24,6.31,3.71,2.84,35.0,2.74
2025-08-25,5.8,5.1,2.61,21.9,2.78
2025-08-26,6.88,4.25,2.16,33.0,2.1
2025-08-27,5.14,5.69,2.08,22.7,4.37
2025-08-28,5.49,3.89,1.2,24.0,3.13
2025-08-29,5.02,4.62,1.35,33.2,2.76
2025-08-30,6.23,3.85,2.21,24.4,3.07
2025-08-31,4.9,5.85,1.76,23.2,3.14
2025-09-01,6.4,3.83,1.24,23.5,2.44
2025-09-02,4.26,5.03,2.62,34.4,2.96
2025-09-03,4.71,4.06,1.74,34.2,4.06
2025-09-04,5.31,5.05,1.14,31.0,5.46
2025-09-05,4.38,4.86,1.21,28.3,2.45
2025-09-06,4.61,5.32,1.12,34.8,1.96
2025-09-07,6.52,4.88,1.43,29.8,1.79
2025-09-08,5.12,4.37,2.11,27.2,1.16
2025-09-09,4.66,4.35,2.01,33.0,5.5
2025-09-10,6.54,3.47,1.4,29.1,4.45
2025-09-11,5.73,3.35,1.25,27.7,1.39
2025-09-12,5.9,3.46,1.95,29.9,4.62
2025-09-13,6.67,5.79,2.24,23.9,2.77
2025-09-14,6.14,5.01,1.98,21.3,3.84
2025-09-15,4.8,5.71,2.02,30.7,2.72
2025-09-16,4.03,4.84,2.84,27.8,3.36
2025-09-17,5.65,3.64,2.68,26.8,5.48
2025-09-18,6.12,3.04,2.5,32.9,5.13
2025-09-19,6.42,4.6,1.79,32.6,2.9
2025-09-20,4.57,5.92,2.14,24.4,2.96
2025-09-21,5.9,5.38,2.45,26.7,1.75
2025-09-22,6.82,3.21,1.87,30.4,3.84
2025-09-23,4.77,4.09,1.09,28.3,1.57
2025-09-24,4.88,3.4,2.33,31.1,5.4
2025-09-25,5.28,3.81,2.74,21.0,5.33
2025-09-26,5.71,5.03,1.62,31.0,5.12
2025-09-27,6.97,3.98,2.58,23.9,1.14
2025-09-28,5.76,4.53,2.43,21.9,2.5
2025-09-29,6.66,3.87,2.29,25.2,2.13
2025-09-30,5.97,4.23,1.06,29.8,3.05
2025-10-01,5.42,4.13,1.03,28.2,5.75
2025-10-02,4.92,4.75,2.02,20.3,4.89
2025-10-03,5.05,3.24,2.07,25.5,3.64
2025-10-04,6.33,5.98,1.22,22.4,5.97
2025-10-05,4.53,3.41,2.94,29.5,1.31
2025-10-06,4.41,3.16,1.48,23.7,3.26
2025-10-07,4.64,5.73,2.52,23.7,2.76
2025-10-08,6.01,4.1,1.83,29.6,5.1
2025-10-09,5.11,3.01,1.9,25.6,3.43
2025-10-10,4.62,3.75,2.64,30.5,3.21
2025-10-11,4.99,5.43,2.95,26.4,1.75
2025-10-12,4.24,5.23,1.08,26.3,4.97
2025-10-13,5.31,4.94,2.48,25.6,5.82
2025-10-14,6.43,5.48,2.3,27.9,4.93
2025-10-15,5.34,4.42,2.08,34.6,5.88
2025-10-16,5.34,5.76,1.77,25.6,1.92
2025-10-17,4.08,3.81,2.0,20.8,4.14
2025-10-18,4.84,4.49,1.54,22.5,3.2
2025-10-19,4.23,5.49,2.87,25.8,1.18
2025-10-20,4.14,4.63,1.27,33.0,4.9
2025-10-21,6.59,3.72,1.31,25.9,1.87
2025-10-22,6.14,4.0,2.42,32.4,5.63
2025-10-23,6.49,5.58,1.93,24.0,2.12
2025-10-24,4.4,4.59,2.27,30.9,2.3
2025-10-25,5.1,4.04,2.23,22.6,5.85
2025-10-26,6.74,4.87,2.44,32.7,2.52
2025-10-27,5.3,3.44,1.29,29.7,5.24
2025-10-28,6.78,5.22,2.41,27.7,4.7
2025-10-29,6.88,4.09,1.66,34.9,5.33
2025-10-30,4.02,4.55,2.38,29.8,1.36
2025-10-31,5.3,4.04,1.7,34.7,3.36
2025-11-01,5.75,5.57,2.65,29.4,2.93
2025-11-02,5.05,3.53,2.69,34.1,4.29
2025-11-03,5.13,5.61,2.27,30.4,5.54
2025-11-04,5.07,4.99,1.53,28.2,4.03
2025-11-05,4.69,3.54,1.82,25.6,5.17
2025-11-06,4.08,3.47,1.73,26.0,5.42
2025-11-07,6.19,3.78,1.36,26.5,3.39
2025-11-08,7.0,4.33,1.13,22.3,3.09
2025-11-09,4.12,5.83,2.24,28.0,3.38
2025-11-10,6.58,5.35,1.9,35.0,2.54
2025-11-11,5.63,3.86,1.13,30.0,1.93
2025-11-12,4.06,4.43,2.26,20.6,4.74
2025-11-13,4.21,3.13,2.2,23.8,5.73
2025-11-14,5.58,5.33,2.05,32.8,3.57
2025-11-15,4.31,5.14,1.22,28.7,2.68
2025-11-16,4.89,4.93,1.93,21.6,1.57
2025-11-17,4.82,4.81,2.01,27.7,4.2
2025-11-18,6.91,3.22,1.24,23.3,1.88
2025-11-19,5.41,4.57,1.5,34.1,4.94
2025-11-20,4.86,4.8,2.99,30.1,3.19
2025-11-21,6.81,4.86,2.95,27.6,2.67
2025-11-22,6.9,5.69,2.79,30.9,4.23
2025-11-23,6.16,3.99,1.98,27.7,5.37
2025-11-24,4.41,3.73,2.46,25.6,5.1
2025-11-25,6.67,4.31,1.21,29.9,5.75
2025-11-26,5.32,4.85,1.85,24.2,4.39
2025-11-27,6.36,5.55,2.39,29.8,5.42
2025-11-28,6.16,5.23,1.62,32.0,3.01
2025-11-29,5.96,4.55,2.69,32.0,4.64
2025-11-30,6.3,4.17,2.59,23.5,5.35
2025-12-01,6.44,5.24,1.56,27.1,1.23
2025-12-02,5.38,4.11,1.09,33.8,4.7
2025-12-03,5.45,4.27,2.25,22.1,4.99
2025-12-04,4.29,3.06,1.47,22.7,2.74
2025-12-05,5.11,4.52,2.5,22.2,2.61
2025-12-06,6.66,3.61,2.12,20.3,5.91
2025-12-07,4.66,5.9,2.73,24.5,4.19
2025-12-08,6.25,3.28,1.15,26.6,2.53
2025-12-09,6.42,3.12,1.89,34.5,1.94
2025-12-10,4.59,4.55,2.71,24.0,4.6
2025-12-11,6.29,5.95,2.65,33.4,1.47
2025-12-12,5.97,3.82,2.67,27.4,1.6
2025-12-13,6.93,3.4,1.16,23.5,4.1
2025-12-14,5.16,3.27,1.96,25.5,3.61
2025-12-15,6.27,3.01,2.19,30.8,1.22
2025-12-16,6.53,4.85,2.08,25.5,3.63
2025-12-17,5.14,4.06,1.02,26.4,5.67
2025-12-18,4.67,5.46,2.54,26.3,4.18
2025-12-19,5.1,3.67,2.48,29.6,5.02
2025-12-20,5.96,4.64,1.99,33.6,5.52
2025-12-21,4.77,3.16,1.3,20.1,3.38
2025-12-22,6.58,3.97,1.34,28.3,4.64
2025-12-23,4.89,5.72,1.02,33.1,3.91
2025-12-24,6.29,4.81,2.1,22.0,5.41
2025-12-25,4.96,4.39,2.41,20.5,4.03
2025-12-26,5.51,5.79,2.34,34.4,5.05
2025-12-27,6.62,4.05,2.06,31.9,4.52
2025-12-28,5.46,3.22,1.84,31.3,2.14
2025-12-29,5.87,4.37,2.41,21.1,3.2
2025-12-30,5.03,4.77,2.1,28.5,5.28
2025-12-31,5.41,5.4,2.18,28.6,3.22
